game_date,pts,team1-1-power-forward,team1-1-point-guard,team1-1-shooting-guard,team1-1-small-forward,team1-1-center,team1-1-power-forward-exp,team1-1-point-guard-exp,team1-1-shooting-guard-exp,team1-1-small-forward-exp,team1-1-center-exp,team1-2-power-forward,team1-2-point-guard,team1-2-shooting-guard,team1-2-small-forward,team1-2-center,team1-2-power-forward-exp,team1-2-point-guard-exp,team1-2-shooting-guard-exp,team1-2-small-forward-exp,team1-2-center-exp,team2-1-power-forward,team2-1-point-guard,team2-1-shooting-guard,team2-1-small-forward,team2-1-center,team2-1-power-forward-exp,team2-1-point-guard-exp,team2-1-shooting-guard-exp,team2-1-small-forward-exp,team2-1-center-exp,team2-2-power-forward,team2-2-point-guard,team2-2-shooting-guard,team2-2-small-forward,team2-2-center,team2-2-power-forward-exp,team2-2-point-guard-exp,team2-2-shooting-guard-exp,team2-2-small-forward-exp,team2-2-center-exp,team2,team1
2022,106,89,48,35,6,60,1,9,5,1,9,29,79,163,89,38,1,2,R,5,2,82,50,16,50,49,R,6,1,7,8,129,4,133,11,22,R,2,2,4,2,MEM,MIN
2022,96,124,21,49,47,66,1,7,2,15,1,92,26,130,54,11,1,14,R,4,8,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,DAL,UTA
2022,98,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,124,21,49,47,66,1,7,2,15,1,92,26,130,54,11,1,14,R,4,8,UTA,DAL
2022,115,102,44,1,26,9,R,6,6,3,3,26,24,90,55,58,9,16,3,4,10,107,65,49,4,29,3,R,2,5,2,120,37,78,37,25,3,3,2,R,4,NOP,PHX
2022,109,107,65,49,4,29,3,R,2,5,2,120,37,78,37,25,3,3,2,R,4,102,44,1,26,9,R,6,6,3,3,26,24,90,55,58,9,16,3,4,10,PHX,NOP
2022,132,7,16,23,59,74,10,1,7,12,R,93,131,8,98,82,15,1,12,R,6,33,82,171,15,67,1,R,3,4,4,27,75,107,22,74,4,1,1,R,1,TOR,PHI
2022,97,33,82,171,15,67,1,R,3,4,4,27,75,107,22,74,4,1,1,R,1,7,16,23,59,74,10,1,7,12,R,93,131,8,98,82,15,1,12,R,6,PHI,TOR
2022,98,127,72,63,24,80,R,1,5,9,2,10,78,119,62,32,7,1,2,7,10,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,GSW,DEN
2022,102,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,127,72,63,24,80,R,1,5,9,2,10,78,119,62,32,7,1,2,7,10,DEN,GSW
2022,116,1,76,42,78,32,8,3,3,3,10,116,64,109,55,50,4,13,5,R,12,95,31,76,2,78,2,4,4,12,4,87,84,64,53,81,R,1,R,2,R,CHI,MIL
2022,100,95,31,76,2,78,2,4,4,12,4,87,84,64,53,81,R,1,R,2,R,1,76,42,78,32,8,3,3,3,10,116,64,109,55,50,4,13,5,R,12,MIL,CHI
2022,112,102,44,1,26,9,R,6,6,3,3,26,24,90,55,58,9,16,3,4,10,107,65,49,4,29,3,R,2,5,2,120,37,78,37,25,3,3,2,R,4,NOP,PHX
2022,97,107,65,49,4,29,3,R,2,5,2,120,37,78,37,25,3,3,2,R,4,102,44,1,26,9,R,6,6,3,3,26,24,90,55,58,9,16,3,4,10,PHX,NOP
2022,109,89,48,35,6,60,1,9,5,1,9,29,79,163,89,38,1,2,R,5,2,82,50,16,50,49,R,6,1,7,8,129,4,133,11,22,R,2,2,4,2,MEM,MIN
2022,111,82,50,16,50,49,R,6,1,7,8,129,4,133,11,22,R,2,2,4,2,89,48,35,6,60,1,9,5,1,9,29,79,163,89,38,1,2,R,5,2,MIN,MEM
2022,94,9,91,36,96,21,4,R,3,8,7,15,2,142,27,72,12,3,1,2,8,110,10,166,5,5,18,2,R,10,4,112,28,129,39,52,1,15,2,2,8,MIA,ATL
2022,97,110,10,166,5,5,18,2,R,10,4,112,28,129,39,52,1,15,2,2,8,9,91,36,96,21,4,R,3,8,7,15,2,142,27,72,12,3,1,2,8,ATL,MIA
2022,77,124,21,49,47,66,1,7,2,15,1,92,26,130,54,11,1,14,R,4,8,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,DAL,UTA
2022,102,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,124,21,49,47,66,1,7,2,15,1,92,26,130,54,11,1,14,R,4,8,UTA,DAL
2022,103,33,82,171,15,67,1,R,3,4,4,27,75,107,22,74,4,1,1,R,1,7,16,23,59,74,10,1,7,12,R,93,131,8,98,82,15,1,12,R,6,PHI,TOR
2022,88,7,16,23,59,74,10,1,7,12,R,93,131,8,98,82,15,1,12,R,6,33,82,171,15,67,1,R,3,4,4,27,75,107,22,74,4,1,1,R,1,TOR,PHI
2022,116,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,38,76,109,41,18,2,3,5,3,15,2,3,23,57,43,13,10,7,R,9,BKN,BOS
2022,112,38,76,109,41,18,2,3,5,3,15,2,3,23,57,43,13,10,7,R,9,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,BOS,BKN
2022,86,9,91,36,96,21,4,R,3,8,7,15,2,142,27,72,12,3,1,2,8,110,10,166,5,5,18,2,R,10,4,112,28,129,39,52,1,15,2,2,8,MIA,ATL
2022,110,110,10,166,5,5,18,2,R,10,4,112,28,129,39,52,1,15,2,2,8,9,91,36,96,21,4,R,3,8,7,15,2,142,27,72,12,3,1,2,8,ATL,MIA
2022,121,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,127,72,63,24,80,R,1,5,9,2,10,78,119,62,32,7,1,2,7,10,DEN,GSW
2022,126,127,72,63,24,80,R,1,5,9,2,10,78,119,62,32,7,1,2,7,10,68,5,157,73,57,6,12,3,2,6,51,84,150,13,84,9,17,R,7,17,GSW,DEN
2022,95,95,31,76,2,78,2,4,4,12,4,87,84,64,53,81,R,1,R,2,R,1,76,42,78,32,8,3,3,3,10,116,64,109,55,50,4,13,5,R,12,MIL,CHI
2022,119,1,76,42,78,32,8,3,3,3,10,116,64,109,55,50,4,13,5,R,12,95,31,76,2,78,2,4,4,12,4,87,84,64,53,81,R,1,R,2,R,CHI,MIL
2022,103,102,44,1,26,9,R,6,6,3,3,26,24,90,55,58,9,16,3,4,10,107,65,49,4,29,3,R,2,5,2,120,37,78,37,25,3,3,2,R,4,NOP,PHX
2022,118,107,65,49,4,29,3,R,2,5,2,120,37,78,37,25,3,3,2,R,4,102,44,1,26,9,R,6,6,3,3,26,24,90,55,58,9,16,3,4,10,PHX,NOP
2022,100,124,21,49,47,66,1,7,2,15,1,92,26,130,54,11,1,14,R,4,8,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,DAL,UTA
2022,99,19,20,111,82,69,5,3,1,4,2,132,73,147,43,82,1,8,3,8,6,124,21,49,47,66,1,7,2,15,1,92,26,130,54,11,1,14,R,4,8,UTA,DAL
2022,119,89,48,35,6,60,1,9,5,1,9,29,79,163,89,38,1,2,R,5,2,82,50,16,50,49,R,6,1,7,8,129,4,133,11,22,R,2,2,4,2,MEM,MIN
2022,118,82,50,16,50,49,R,6,1,7,8,129,4,133,11,22,R,2,2,4,2,89,48,35,6,60,1,9,5,1,9,29,79,163,89,38,1,2,R,5,2,MIN,MEM
2022,109,105,63,5,87,71,2,1,5,R,10,124,35,151,77,25,1,7,17,1,14,38,76,109,41,18,2,3,5,3,15,2,3,23,57,43,13,10,7,R,9,BKN,BOS
